Geopolitical entity (reporting),2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05
Austria,0.6,1.1,1.8,1.4,1.2,1.1,1.1,1.0,1.1,1.4,2.0,1.9,3.0,2.8,2.8,3.2,3.3,3.8,4.1,3.8,4.5,5.5,6.6,7.1,7.7,8.7,9.4,9.3,11.0,11.6,11.2,10.5,11.6,11.0,9.2,9.4,8.7,7.8,7.0,7.5,5.8,4.9,4.9,5.7,4.3,4.0,4.1,3.4,3.3,3.1,2.9,2.4,1.8,1.8,1.9,2.1,3.4,3.4,3.1,3.3,3.0
Belgium,-0.2,0.2,1.7,-0.9,0.5,0.4,0.2,0.4,0.6,0.3,1.6,2.1,2.5,2.6,1.4,4.7,3.8,5.4,7.1,6.6,8.5,9.5,9.3,9.3,9.9,10.5,10.4,10.5,12.1,13.1,10.5,10.2,7.4,5.4,4.9,3.3,2.7,1.6,1.7,2.4,0.7,-1.7,-0.8,0.5,1.5,3.6,3.8,4.9,4.9,5.4,5.4,4.3,4.3,4.5,4.8,4.4,4.4,4.4,3.6,3.1,2.8
Croatia,-0.7,-0.4,-0.6,-0.4,-0.3,-0.2,0.0,-0.3,0.0,0.7,1.6,2.1,2.4,2.2,2.7,3.1,3.5,3.9,4.7,5.2,5.5,6.3,7.3,9.6,10.7,12.1,12.7,12.6,12.6,12.7,13.0,12.7,12.5,11.7,10.5,8.9,8.3,8.3,8.0,8.4,7.4,6.7,5.5,5.4,4.8,4.8,4.9,4.7,4.3,3.5,3.3,3.0,3.1,3.6,4.0,4.5,5.0,4.8,4.3,4.0,4.3
Cyprus,-1.4,-2.2,-2.0,-2.9,-1.9,-1.4,-1.1,-0.8,-0.8,-0.9,0.3,1.2,1.5,2.2,2.7,3.3,3.6,4.4,4.7,4.8,5.0,5.8,6.2,8.6,8.8,9.0,10.6,9.6,9.0,8.6,8.1,7.6,6.8,6.7,6.1,3.9,3.6,2.8,2.4,3.1,4.3,3.6,2.4,1.9,2.1,2.1,1.6,2.1,3.0,3.0,2.4,2.2,1.6,1.6,2.2,3.1,2.9,2.3,2.1,1.4,0.4
Estonia,-1.8,-1.6,-1.3,-1.3,-1.3,-1.7,-1.2,-0.9,0.3,0.5,0.9,1.6,3.2,3.7,4.9,5.0,6.4,6.8,8.6,12.0,11.0,11.6,14.8,19.1,20.1,22.0,23.2,25.2,24.1,22.5,21.4,17.5,18.6,17.8,15.6,13.2,11.2,9.0,6.2,4.3,3.9,5.0,4.1,4.3,5.0,4.4,4.1,3.1,3.1,2.8,3.5,3.4,3.2,4.5,3.8,4.1,3.8,5.1,4.3,4.4,4.6
Euro area,0.1,0.3,0.4,-0.2,-0.3,-0.3,-0.3,-0.3,0.9,0.9,1.3,1.6,2.0,1.9,2.2,3.0,3.4,4.1,4.9,5.0,5.1,5.9,7.4,7.4,8.1,8.6,8.9,9.1,9.9,10.6,10.1,9.2,8.6,8.5,6.9,7.0,6.1,5.5,5.3,5.2,4.3,2.9,2.4,2.9,2.8,2.6,2.4,2.4,2.6,2.5,2.6,2.2,1.7,2.0,2.2,2.4,2.5,2.3,2.2,2.2,1.9
Finland,-0.1,0.1,0.7,0.3,0.3,0.2,0.2,0.2,1.0,0.9,1.4,2.2,2.3,1.9,1.8,1.8,2.1,2.8,3.5,3.2,4.1,4.4,5.8,5.8,7.1,8.1,8.0,7.9,8.4,8.4,9.1,8.8,7.9,8.0,6.7,6.3,5.0,4.1,4.2,3.1,3.0,2.4,0.7,1.3,1.1,1.1,0.6,0.6,0.4,0.5,0.5,1.1,1.0,1.5,1.7,1.6,1.7,1.5,1.8,1.9,2.1
France,0.4,0.2,0.9,0.2,0.0,0.1,0.2,0.0,0.8,0.8,1.4,1.6,1.8,1.9,1.5,2.4,2.7,3.2,3.4,3.4,3.3,4.2,5.1,5.4,5.8,6.5,6.8,6.6,6.2,7.1,7.1,6.7,7.0,7.3,6.7,6.9,6.0,5.3,5.1,5.7,5.7,4.5,3.9,4.1,3.4,3.2,2.4,2.4,2.6,2.5,2.7,2.2,1.4,1.6,1.7,1.8,1.8,0.9,0.9,0.9,0.6
Germany,0.5,0.8,0.0,-0.1,-0.4,-0.5,-0.7,-0.7,1.6,1.6,2.0,2.1,2.4,2.1,3.1,3.4,4.1,4.6,6.0,5.7,5.1,5.5,7.6,7.8,8.7,8.2,8.5,8.8,10.9,11.6,11.3,9.6,9.2,9.3,7.8,7.6,6.3,6.8,6.5,6.4,4.3,3.0,2.3,3.8,3.1,2.7,2.3,2.4,2.8,2.5,2.6,2.0,1.8,2.4,2.4,2.8,2.8,2.6,2.3,2.2,2.1
Greece,-0.7,-1.9,-2.1,-2.3,-2.3,-2.0,-2.1,-2.4,-2.4,-1.9,-2.0,-1.1,-1.2,0.6,0.7,1.2,1.9,2.8,4.0,4.4,5.5,6.3,8.0,9.1,10.5,11.6,11.3,11.2,12.1,9.5,8.8,7.6,7.3,6.5,5.4,4.5,4.1,2.8,3.5,3.5,2.4,3.8,2.9,3.7,3.2,3.1,3.4,3.2,2.4,2.5,3.0,3.2,3.1,3.1,3.0,2.9,3.1,3.0,3.1,2.6,3.3
